Ticker,Description,Price,Change %,Change,High,Low,Volume,Volume 24h in -usd,Volume 24h Change %,Technical Rating,Exchange
WAMPL-usd,Wrapped Ampleforth / United States Dollar,3.36,0,0,3.38,3.36,107.113,15676.97575,-87.80477202,Sell,COINBASE
RADGBP,Radicle / British Pound,1.359,0.14738394,0.002,1.359,1.357,230.98,15555.48576727,170.56000759,Sell,COINBASE
ENJBTC,Enjin Coin / Bitcoin,0.00001808,0.78037904,1.4e-7,0.00001811,0.00001799,593.63,15439.31596613,-19.17301065,Sell,COINBASE
HBAR-usdT,Hedera / Tether,0.04784,0.58873003,0.00028,0.04785,0.04764,8072.9,15434.06514178,-0.29287741,Sell,COINBASE
FORT-usdT,Forta / Tether,0.1635,-2.3880597,-0.004,0.1995,0.1627,88194.19,15273.9418796,34862.52113401,Buy,COINBASE
WBTC-usd,Wrapped Bitcoin / United States Dollar,16900.09,0.25270666,42.6,16900.09,16818.59,0.07075273,15143.39489721,-91.25476719,Sell,COINBASE
POLS-usd,Polkastarter / United States Dollar,0.3731,0.18796992,0.0007,0.3731,0.373,107.65,15123.921177,-66.49395921,Neutral,COINBASE
RAD-usdT,Radicle / Tether,1.65,-2.36686391,-0.04,1.73,1.65,8664.2,14963.85487711,19.57694043,Sell,COINBASE
AERGO-usd,Aergo / United States Dollar,0.1131,0,0,0.1134,0.1131,646.9,14581.33269,-10.68446101,Sell,COINBASE
FIDAEUR,Bonfida / Euro,0.3749,1.57138987,0.0058,0.3749,0.3749,5.2,14440.24655205,1552.56129998,Sell,COINBASE
MIREUR,Mirror Protocol / Euro,0.126,0.8,0.001,0.126,0.126,315.56,13933.66243641,-98.35618982,Sell,COINBASE
SNXGBP,Synthetix / British Pound,1.407,0.78796562,0.011,1.407,1.396,138.779,13932.62278986,-56.15313154,Sell,COINBASE
LRCBTC,Loopring / Bitcoin,0.00001495,-0.39973351,-6e-8,0.00001508,0.00001495,76,13868.35441835,-19.1296526,Buy,COINBASE
WCFG-usd,Wrapped Centrifuge / United States Dollar,0.216,0.46511628,0.001,0.216,0.215,382.06,13536.86949,-16.70513695,Sell,COINBASE
ELA-usd,Elastos / United States Dollar,1.155,0,0,1.155,1.154,152.23,13181.79901,-90.46747499,Neutral,COINBASE
